Estación:       JOCOTEPEC,  JAL
Operada por:    SMN EMAS
Longitud:       103°24'59"  Latitud: 20°16'59  Altitud: 1506

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL
26/01/2018 17:00       106       102      1.20      9.70      17.4        69     855.2       0.0     646.5
26/01/2018 18:00        97       101      0.62      9.10      18.5        63     854.4       0.0     840.8
26/01/2018 19:00         0       101      0.00      0.00      18.9        60     853.4       0.0     865.8
26/01/2018 20:00         0       101      0.00      0.00      19.0        56     852.1       0.0     728.0
26/01/2018 21:00         0       101      0.00      0.00      19.9        52     851.1       0.0     522.7
26/01/2018 22:00         0       101      0.00      0.00      19.6        55     850.4       0.0     394.5
26/01/2018 23:00         0       101      0.00      0.00      19.7        56     850.4       0.0     127.5
27/01/2018 00:00         0       101      0.00      0.00      18.1        60     850.6       0.0      10.8
27/01/2018 01:00         0       101      0.00      0.00      17.3        61     850.9       0.0       0.0
27/01/2018 02:00         0       101      0.00      0.00      15.8        67     851.3       0.0       0.0
27/01/2018 03:00         0       101      0.00      0.00      14.5        70     851.5       0.0       0.0
27/01/2018 04:00         0       101      0.00      0.00      13.7        72     851.7       0.0       0.0
27/01/2018 05:00       253       243      0.53      2.20      14.0        72     851.9       0.0       0.0
27/01/2018 06:00       234       222      0.83      5.10      15.2        71     851.6       0.0       0.0
27/01/2018 07:00         0       222      0.00      0.00      15.1        70     851.6       0.0       0.0
27/01/2018 08:00         0       222      0.00      0.00      13.2        75     851.4       0.0       0.0
27/01/2018 09:00         0       222      0.00      0.00      12.1        81     851.1       0.0       0.0
27/01/2018 10:00         0       222      0.00      0.00      12.4        81     850.5       0.0       0.0
27/01/2018 11:00         0       222      0.00      0.00      11.2        83     850.5       0.0       0.0
27/01/2018 12:00         0       222      0.00      0.00      10.5        85     850.9       0.0       0.0
27/01/2018 13:00         0       222      0.00      0.00      10.6        86     851.6       0.0       4.7
27/01/2018 14:00         0       222      0.00      0.00      12.3        88     852.2       0.0      88.0
27/01/2018 15:00         0       222      0.00      0.00      17.8        79     852.8       0.0     349.3
27/01/2018 16:00         0       222      0.00      0.00      20.9        64     853.2       0.0     574.2
27/01/2018 17:00         0       222      0.00      0.00      21.2        58     853.0       0.0     744.7
27/01/2018 18:00         0       222      0.00      0.00      20.3        61     852.3       0.0     839.7
27/01/2018 19:00         0       222      0.00      0.00      21.1        60     851.3       0.0     873.0
27/01/2018 20:00         0       222      0.00      0.00      21.5        56     849.9       0.0     687.8
27/01/2018 21:00         0       222      0.00      0.00      22.0        49     848.9       0.0     317.2
27/01/2018 22:00         0       222      0.00      0.00      21.7        50     848.6       0.0     229.2
27/01/2018 23:00         0       144      0.00      9.10      20.6        53     849.0       0.0      89.0
28/01/2018 00:00         0       144      0.00      0.00      19.4        48     849.1       0.0      12.5
28/01/2018 01:00       302       292      7.00     36.20      19.0        46     850.0       0.0       0.0
28/01/2018 02:00       313       299     12.12     35.00      17.3        55     850.8       0.0       0.0
28/01/2018 03:00       326         0      4.30     28.10      17.5        52     851.8       0.0       0.0
28/01/2018 04:00         0       333      0.00      0.00      16.3        56     851.8       0.0       0.0
28/01/2018 05:00        56        60      0.62      9.70      15.4        61     851.7       0.0       0.0
28/01/2018 06:00         0        60      0.00      0.00      14.8        62     851.5       0.0       0.0
28/01/2018 07:00         0        60      0.00      0.00      13.3        67     851.1       0.0       0.0
28/01/2018 08:00         0        60      0.00      0.00      12.5        69     850.8       0.0       0.0
28/01/2018 09:00         0        60      0.00      0.00      11.6        72     850.5       0.0       0.0
