71926 YBK Baker Lake Observations at 12Z 22 Dec 2017

   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
 1007.0     51  -32.1  -37.0     62   0.16     10     14  240.6  241.0  240.6
 1006.0     58  -32.9  -37.2     65   0.16      9     15  239.8  240.3  239.9
 1000.0    100  -30.7  -34.7     68   0.20      5     19  242.4  243.0  242.5
  990.0    172  -27.9  -31.9     69   0.27     14     16  246.0  246.7  246.0
  983.0    223  -27.9  -32.0     68   0.27     20     14  246.4  247.2  246.5
  971.8    305  -28.1  -31.8     70   0.28     30     10  247.1  247.8  247.1
  931.3    610  -28.8  -31.1     81   0.31     25      8  249.3  250.2  249.4
  927.0    644  -28.9  -31.0     82   0.31     25      9  249.6  250.5  249.7
  925.0    659  -28.9  -31.0     82   0.31     25     10  249.8  250.7  249.8
  896.0    888  -27.1  -29.5     80   0.37     38     12  253.9  255.0  253.9
  892.7    914  -27.3  -29.6     81   0.37     40     12  254.0  255.0  254.0
  889.0    944  -27.5  -29.6     82   0.37     39     12  254.1  255.1  254.1
  855.8   1219  -26.1  -28.5     81   0.43     25     11  258.2  259.5  258.3
  850.0   1268  -25.9  -28.3     80   0.44     25     10  259.0  260.3  259.1
  786.0   1829  -27.9  -30.7     77   0.38      0      9  262.7  263.8  262.7
  753.3   2134  -29.1  -31.9     76   0.35    355      9  264.7  265.8  264.7
  722.0   2438  -30.1  -33.2     74   0.32    355      6  266.7  267.7  266.8
  718.0   2478  -30.3  -33.4     74   0.32    356      6  267.0  267.9  267.0
  700.0   2658  -31.5  -33.7     81   0.32      0      5  267.6  268.6  267.6
  691.6   2743  -32.1  -34.0     82   0.31      0      6  267.9  268.9  267.9
  656.0   3115  -34.5  -35.6     90   0.28    346      5  269.2  270.1  269.2
  629.0   3409  -35.7  -38.3     77   0.22    335      5  271.1  271.8  271.1
  614.0   3577  -35.5  -38.2     76   0.23    328      4  273.2  273.9  273.2
  606.9   3658  -36.0  -40.1     66   0.19    325      4  273.6  274.2  273.6
  605.0   3680  -36.1  -40.6     63   0.18    324      4  273.6  274.2  273.7
  555.5   4267  -40.4  -41.8     86   0.18    305      3  275.3  275.9  275.4
  552.0   4311  -40.7  -41.9     88   0.18    305      3  275.5  276.0  275.5
  549.0   4348  -40.9  -42.0     89   0.17    304      3  275.6  276.2  275.7
  545.0   4398  -41.1  -45.2     64   0.12    304      3  276.0  276.4  276.0
  539.0   4473  -41.7  -43.9     79   0.15    303      4  276.1  276.6  276.2
  536.0   4511  -41.7  -46.7     58   0.11    303      4  276.6  277.0  276.6
  528.0   4613  -42.3  -45.6     70   0.12    302      4  277.1  277.5  277.1
  522.0   4690  -42.7  -46.7     65   0.11    302      4  277.5  277.9  277.5
  507.7   4877  -43.5  -50.4     47   0.07    300      5  278.7  278.9  278.7
  502.0   4953  -43.9  -51.9     41   0.06    289      7  279.1  279.4  279.1
  500.0   4980  -43.9  -51.9     41   0.06    285      8  279.5  279.7  279.5
  487.0   5156  -44.1  -53.1     36   0.06    268     10  281.3  281.5  281.3
  485.1   5182  -44.2  -52.5     39   0.06    265     10  281.5  281.7  281.5
  479.0   5267  -44.5  -50.5     51   0.08    273     11  282.2  282.4  282.2
  463.5   5486  -45.2  -53.6     39   0.06    295     12  283.9  284.1  283.9
  434.0   5922  -46.7  -59.7     21   0.03    291     17  287.4  287.6  287.4
  425.0   6061  -47.5  -58.5     27   0.03    290     19  288.1  288.3  288.1
  422.7   6096  -47.5  -58.7     27   0.03    290     19  288.6  288.7  288.6
  400.0   6460  -47.7  -60.7     21   0.03    290     13  292.9  293.0  292.9
  385.3   6706  -47.9  -63.2     16   0.02    285     17  295.8  295.9  295.8
  367.9   7010  -48.2  -66.2     11   0.01    310     17  299.3  299.4  299.3
  350.0   7339  -48.5  -69.5      7   0.01    310     18  303.2  303.3  303.2
  336.0   7608  -46.7  -71.7      4   0.01    310     19  309.2  309.3  309.2
  335.4   7620  -46.7  -71.7      4   0.01    310     19  309.4  309.4  309.4
  300.0   8360  -46.1  -72.1      4   0.01    320     23  320.3  320.3  320.3
  279.2   8839  -45.0  -74.8      2   0.01    325     20  328.4  328.5  328.4
  273.0   8990  -44.7  -75.7      2   0.00    318     20  331.1  331.1  331.1
  266.8   9144  -45.0  -76.0      2   0.00    310     19  332.9  332.9  332.9
  263.0   9239  -45.1  -76.1      2   0.00    316     19  334.0  334.0  334.0
  256.0   9420  -43.5  -75.5      2   0.01    328     18  338.9  339.0  339.0
  254.9   9449  -43.5  -75.5      2   0.01    330     18  339.4  339.4  339.4
  250.0   9580  -43.5  -75.5      2   0.01    330     22  341.3  341.3  341.3
  232.0  10081  -44.5  -76.5      2   0.01    328     24  347.1  347.1  347.1
  212.6  10668  -43.0  -75.6      2   0.01    325     26  358.2  358.3  358.2
  203.2  10973  -42.2  -75.1      2   0.01    335     24  364.2  364.2  364.2
  200.0  11080  -41.9  -74.9      2   0.01    330     23  366.3  366.3  366.3
  194.2  11278  -41.9  -74.9      2   0.01    315     25  369.4  369.4  369.4
  177.6  11887  -41.7  -74.7      2   0.01    340     22  379.2  379.2  379.2
  175.0  11987  -41.7  -74.7      2   0.01    332     23  380.8  380.9  380.8
  169.8  12192  -42.2  -75.2      2   0.01    315     25  383.4  383.4  383.4
  162.3  12497  -42.9  -75.9      1   0.01    320     32  387.1  387.2  387.1
  158.0  12679  -43.3  -76.3      1   0.01    322     31  389.4  389.4  389.4
  150.0  13030  -43.1  -76.1      1   0.01    325     28  395.6  395.6  395.6
  148.3  13106  -43.0  -76.0      1   0.01    310     26  397.1  397.1  397.1
  141.8  13411  -42.5  -75.7      1   0.01    350     24  403.1  403.1  403.1
  135.6  13716  -42.0  -75.5      1   0.01    345     22  409.1  409.2  409.1
  129.7  14021  -41.5  -75.2      1   0.01    310     23  415.3  415.4  415.3
  108.4  15240  -39.4  -74.0      1   0.02    345     25  441.0  441.1  441.0
  100.0  15790  -38.5  -73.5      1   0.02    330     26  453.0  453.2  453.0
   99.1  15850  -38.4  -73.5      1   0.02    330     26  454.4  454.5  454.4
   94.8  16154  -37.8  -73.5      1   0.02    320     30  461.4  461.6  461.4
   93.2  16274  -37.5  -73.5      1   0.02    334     31  464.2  464.4  464.2
   90.7  16459  -38.7  -74.2      1   0.02    355     32  465.4  465.6  465.4
   88.3  16644  -39.9  -74.9      1   0.02    347     30  466.6  466.8  466.6
   83.0  17069  -38.5  -74.3      1   0.02    330     24  477.8  477.9  477.8
