71926 YBK Baker Lake Observations at 00Z 22 Jun 2017

   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
 1002.0     51   10.2    0.2     50   3.89     20     18  283.2  294.4  283.9
 1000.0     67    9.2   -0.8     50   3.62     20     16  282.4  292.8  283.0
  971.4    305    6.9   -0.9     57   3.69     10     16  282.4  292.9  283.0
  935.9    610    3.9   -1.1     70   3.78     30     17  282.4  293.2  283.0
  925.0    706    3.0   -1.2     74   3.80     35     17  282.4  293.2  283.0
  921.0    741    2.4   -1.4     76   3.76     35     17  282.1  292.9  282.8
  901.5    914    1.3   -1.9     80   3.72     35     16  282.7  293.4  283.3
  900.0    927    1.2   -1.9     80   3.71     37     16  282.7  293.4  283.4
  869.0   1208   -0.7   -4.8     74   3.09     78      8  283.6  292.6  284.1
  867.9   1219   -0.7   -5.9     68   2.84     80      8  283.7  292.0  284.2
  864.0   1255   -0.7   -9.7     51   2.13     78      8  284.1  290.4  284.4
  854.0   1348   -0.9  -12.9     40   1.67     72      7  284.8  289.9  285.1
  850.0   1385   -1.1  -11.1     47   1.94     70      7  285.0  290.8  285.3
  842.0   1460   -1.1  -12.1     43   1.80     32      5  285.8  291.2  286.1
  835.3   1524   -1.5   -6.8     67   2.77      0      4  286.0  294.2  286.5
  835.0   1527   -1.5   -6.5     69   2.83    360      4  286.0  294.4  286.5
  825.0   1623   -1.5  -12.5     43   1.78    355      6  287.0  292.4  287.3
  816.0   1710   -1.3   -7.3     64   2.72    351      8  288.1  296.2  288.6
  813.0   1740   -1.1   -9.1     55   2.37    349      8  288.6  295.8  289.0
  807.0   1799   -0.9  -15.9     31   1.38    346      9  289.4  293.8  289.7
  804.0   1829   -1.1  -16.4     30   1.32    345     10  289.6  293.8  289.8
  791.0   1959   -1.7  -18.7     26   1.11      4     10  290.3  293.8  290.4
  783.0   2039   -2.3  -10.3     54   2.24     16     10  290.5  297.3  290.9
  773.7   2134   -2.8  -13.6     43   1.74     30     10  290.9  296.3  291.2
  766.0   2213   -3.3  -16.3     36   1.40     10      9  291.2  295.6  291.4
  744.5   2438   -3.7  -11.8     53   2.09    315      6  293.1  299.6  293.5
  744.0   2444   -3.7  -11.7     54   2.11    316      6  293.2  299.7  293.6
  720.0   2702   -5.1  -17.1     38   1.40    341      7  294.4  298.9  294.7
  716.3   2743   -5.4  -17.0     40   1.42    345      7  294.6  299.1  294.8
  702.0   2901   -6.5  -16.5     45   1.51    336     10  295.0  299.8  295.3
  700.0   2923   -6.5  -18.5     38   1.28    335     10  295.3  299.4  295.5
  697.0   2957   -6.3  -20.3     32   1.10    346     11  295.8  299.4  296.0
  688.9   3048   -7.0  -19.5     36   1.19     15     12  296.0  299.9  296.2
  670.0   3264   -8.7  -17.7     48   1.43    340     13  296.5  301.1  296.8
  662.4   3353   -9.2  -19.6     43   1.22    325     13  296.9  300.8  297.1
  659.0   3392   -9.5  -20.5     40   1.14    325     13  297.0  300.7  297.2
