72681 BOI Boise Observations at 00Z 22 Jun 2017

   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
  915.0    874   29.2    3.2     19   5.29    300     15  310.1  326.9  311.1
  905.0    970   26.2    1.2     20   4.63    304     16  308.0  322.7  308.9
  900.0   1019   25.6    0.6     19   4.46    306     17  307.9  322.0  308.7
  879.3   1219   23.7   -0.1     21   4.35    315     20  308.0  321.8  308.8
  850.0   1512   21.0   -1.0     23   4.20    315     21  308.1  321.5  308.9
  819.1   1829   18.1   -2.5     24   3.89    315     18  308.3  320.7  309.0
  806.0   1968   16.8   -3.2     25   3.76    322     18  308.4  320.4  309.1
  790.2   2134   15.4   -6.0     22   3.10    330     18  308.7  318.7  309.2
  762.3   2438   12.9  -11.2     17   2.14    325     21  309.2  316.2  309.6
  754.0   2530   12.2  -12.8     16   1.90    322     22  309.3  315.7  309.7
  745.0   2631   12.6  -24.4      6   0.72    319     23  310.8  313.4  311.0
  735.1   2743   12.8  -19.8      9   1.09    315     24  312.2  316.0  312.4
  723.0   2882   13.0  -14.0     14   1.80    307     22  313.9  320.1  314.3
  700.0   3152   11.2  -15.8     13   1.60    290     18  314.9  320.4  315.2
  673.0   3478    8.8  -17.2     14   1.48    296     24  315.7  320.9  316.0
  658.4   3658    7.7  -16.9     16   1.56    300     27  316.5  321.9  316.8
  611.2   4267    3.9  -15.8     22   1.84    280     30  318.9  325.3  319.3
  605.0   4350    3.4  -15.6     23   1.89    280     31  319.2  325.8  319.6
  588.4   4572    2.1  -17.8     21   1.62    280     32  320.3  326.0  320.6
  566.3   4877    0.4  -20.8     19   1.30    260     31  321.8  326.4  322.1
  524.7   5486   -3.1  -26.8     14   0.82    285     29  324.7  327.8  324.9
  504.0   5807   -4.9  -29.9     12   0.64    285     30  326.3  328.7  326.4
  500.0   5870   -5.5  -30.5     12   0.61    285     30  326.3  328.6  326.4
  485.5   6096   -7.3  -31.6     12   0.56    285     29  326.8  329.0  326.9
  414.1   7315  -17.0  -37.8     15   0.36    290     28  329.5  331.0  329.6
  400.0   7580  -19.1  -39.1     15   0.32    285     26  330.1  331.4  330.1
  397.8   7620  -19.4  -39.4     15   0.32    285     26  330.2  331.4  330.2
  372.0   8114  -23.5  -43.5     14   0.22    274     25  331.2  332.1  331.2
  321.8   9144  -32.4  -46.5     23   0.18    250     24  332.9  333.6  332.9
  306.0   9503  -35.5  -47.5     28   0.17    264     23  333.3  334.0  333.4
  300.0   9640  -36.7  -50.7     22   0.12    270     22  333.5  334.0  333.6
  298.0   9686  -37.1  -50.1     25   0.13    271     22  333.6  334.2  333.6
  293.0   9804  -37.9  -49.9     27   0.14    274     24  334.1  334.7  334.1
  286.0   9970  -39.3  -56.3     15   0.07    278     25  334.4  334.7  334.4
  282.4  10058  -40.1  -55.4     18   0.07    280     26  334.5  334.9  334.6
  271.0  10338  -42.5  -52.5     33   0.11    280     26  334.9  335.4  335.0
  260.0  10618  -44.9  -57.9     22   0.06    280     27  335.4  335.7  335.4
  253.0  10801  -46.3  -57.3     28   0.07    280     27  335.9  336.2  336.0
  250.0  10880  -46.9  -58.9     24   0.05    280     27  336.2  336.4  336.2
  243.0  11068  -48.1  -65.1     12   0.02    279     27  337.1  337.3  337.1
  229.0  11456  -51.1  -69.1     10   0.02    277     26  338.3  338.4  338.3
